ticker,sector,industry,region,country_of_risk,themes
7709.HK,Information Technology,Semiconductors,Asia,South Korea,HBM;semiconductor;AI infrastructure
TSLA,Consumer Discretionary,Auto Manufacturers,North America,United States,EV / autonomy;mega-cap tech
HY9H,Information Technology,Semiconductors,Asia,South Korea,HBM;semiconductor;AI infrastructure
GOOGL,Communication Services,Internet Content and Information,North America,United States,cloud AI;mega-cap tech
MSFT,Information Technology,Software,North America,United States,cloud AI;mega-cap tech;AI infrastructure
NVDA,Information Technology,Semiconductors,North America,United States,AI infrastructure;semiconductor
SMS,Information Technology,Semiconductors,Asia,South Korea,HBM;semiconductor;AI infrastructure
